,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Year
1059,Philadelphia 76ers*,40,42,0.488,26.0,96.6,96.2,0.19,2008
1060,New Jersey Nets,34,48,0.415,32.0,95.8,100.9,-5.15,2008
1061,New York Knicks,23,59,0.28,43.0,96.9,103.5,-6.55,2008
1062,Detroit Pistons*,59,23,0.72,—,97.5,90.1,6.67,2008
1063,Cleveland Cavaliers*,45,37,0.549,14.0,96.4,96.7,-0.53,2008
1064,Indiana Pacers,36,46,0.439,23.0,104.0,105.4,-1.87,2008
1065,Chicago Bulls,33,49,0.402,26.0,97.3,100.4,-3.19,2008
1066,Milwaukee Bucks,26,56,0.317,33.0,97.0,103.9,-6.92,2008
1067,Orlando Magic*,52,30,0.634,—,104.5,99.0,4.79,2008
1068,Washington Wizards*,43,39,0.524,9.0,98.8,99.2,-0.61,2008
1069,Atlanta Hawks*,37,45,0.451,15.0,98.2,100.0,-2.23,2008
1070,Charlotte Bobcats,32,50,0.39,20.0,97.1,101.4,-4.49,2008
1071,Miami Heat,15,67,0.183,37.0,91.4,100.0,-8.53,2008
1072,Utah Jazz*,54,28,0.659,—,106.2,99.3,6.86,2008
1073,Denver Nuggets*,50,32,0.61,4.0,110.7,107.0,3.74,2008
1074,Portland Trail Blazers,41,41,0.5,13.0,95.4,96.3,-0.52,2008
1075,Minnesota Timberwolves,22,60,0.268,32.0,95.6,102.4,-6.26,2008
1076,Seattle SuperSonics,20,62,0.244,34.0,97.5,106.3,-8.04,2008
1077,Los Angeles Lakers*,57,25,0.695,—,108.6,101.3,7.34,2008
1078,Phoenix Suns*,55,27,0.671,2.0,110.1,105.0,5.14,2008
1079,Golden State Warriors,48,34,0.585,9.0,111.0,108.8,2.38,2008
1080,Sacramento Kings,38,44,0.463,19.0,102.5,104.8,-1.86,2008
1081,Los Angeles Clippers,23,59,0.28,34.0,93.8,101.1,-6.56,2008
1082,New Orleans Hornets*,56,26,0.683,—,100.9,95.6,5.46,2008
1083,San Antonio Spurs*,56,26,0.683,—,95.4,90.6,5.1,2008
1084,Houston Rockets*,55,27,0.671,1.0,96.7,92.0,4.83,2008
1085,Dallas Mavericks*,51,31,0.622,5.0,100.4,95.9,4.7,2008
1086,Memphis Grizzlies,22,60,0.268,34.0,100.7,106.9,-5.76,2008
1087,Boston Celtics*,62,20,0.756,—,100.9,93.4,7.44,2009
1088,Philadelphia 76ers*,41,41,0.5,21.0,97.4,97.3,0.16,2009
1089,New Jersey Nets,34,48,0.415,28.0,98.1,100.5,-2.31,2009
1090,Toronto Raptors,33,49,0.402,29.0,99.0,101.9,-2.54,2009
1091,New York Knicks,32,50,0.39,30.0,105.2,107.8,-2.33,2009
1092,Cleveland Cavaliers*,66,16,0.805,—,100.3,91.4,8.68,2009
1093,Chicago Bulls*,41,41,0.5,25.0,102.2,102.5,-0.16,2009
1094,Detroit Pistons*,39,43,0.476,27.0,94.2,94.7,-0.36,2009
1095,Indiana Pacers,36,46,0.439,30.0,105.1,106.2,-0.76,2009
1096,Milwaukee Bucks,34,48,0.415,32.0,99.3,100.4,-0.88,2009
1097,Orlando Magic*,59,23,0.72,—,101.0,94.4,6.48,2009
1098,Atlanta Hawks*,47,35,0.573,12.0,98.1,96.5,1.7,2009
1099,Miami Heat*,43,39,0.524,16.0,98.3,98.0,0.49,2009
1100,Charlotte Bobcats,35,47,0.427,24.0,93.6,94.9,-1.2,2009
1101,Washington Wizards,19,63,0.232,40.0,96.1,103.5,-6.98,2009
1102,Denver Nuggets*,54,28,0.659,—,104.3,100.9,3.13,2009
1103,Portland Trail Blazers*,54,28,0.659,—,99.4,94.1,5.0,2009
1104,Utah Jazz*,48,34,0.585,6.0,103.6,100.9,2.31,2009
1105,Minnesota Timberwolves,24,58,0.293,30.0,97.8,102.7,-4.74,2009
1106,Oklahoma City Thunder,23,59,0.28,31.0,97.0,103.1,-6.04,2009
1107,Los Angeles Lakers*,65,17,0.793,—,106.9,99.3,7.11,2009
1108,Phoenix Suns,46,36,0.561,19.0,109.4,107.5,1.62,2009
1109,Golden State Warriors,29,53,0.354,36.0,108.6,112.3,-3.8,2009
1110,Los Angeles Clippers,19,63,0.232,46.0,95.1,103.9,-8.47,2009
1111,Sacramento Kings,17,65,0.207,48.0,100.6,109.3,-8.6,2009
1112,San Antonio Spurs*,54,28,0.659,—,97.0,93.3,3.36,2009
1113,Houston Rockets*,53,29,0.646,1.0,98.4,94.4,3.73,2009
1114,Dallas Mavericks*,50,32,0.61,4.0,101.7,99.8,1.68,2009
1115,New Orleans Hornets*,49,33,0.598,5.0,95.8,94.3,1.41,2009
1116,Memphis Grizzlies,24,58,0.293,30.0,93.9,99.3,-5.23,2009
1117,Boston Celtics*,50,32,0.61,—,99.2,95.6,3.37,2010
1118,Toronto Raptors,40,42,0.488,10.0,104.1,105.9,-1.83,2010
1119,New York Knicks,29,53,0.354,21.0,102.1,105.9,-4.01,2010
1120,Philadelphia 76ers,27,55,0.329,23.0,97.7,101.6,-3.93,2010
1121,New Jersey Nets,12,70,0.146,38.0,92.4,101.5,-8.93,2010
1122,Cleveland Cavaliers*,61,21,0.744,—,102.1,95.6,6.17,2010
1123,Milwaukee Bucks*,46,36,0.561,15.0,97.7,96.0,1.37,2010
1124,Chicago Bulls*,41,41,0.5,20.0,97.5,99.1,-1.64,2010
1125,Indiana Pacers,32,50,0.39,29.0,100.8,103.8,-3.11,2010
1126,Detroit Pistons,27,55,0.329,34.0,94.0,99.1,-5.02,2010
1127,Orlando Magic*,59,23,0.72,—,102.8,95.3,7.12,2010
1128,Atlanta Hawks*,53,29,0.646,6.0,101.7,97.0,4.44,2010
1129,Miami Heat*,47,35,0.573,12.0,96.5,94.2,1.99,2010
1130,Charlotte Bobcats*,44,38,0.537,15.0,95.3,93.8,1.3,2010
1131,Washington Wizards,26,56,0.317,33.0,96.2,101.0,-4.72,2010
1132,Denver Nuggets*,53,29,0.646,—,106.5,102.4,4.15,2010
1133,Utah Jazz*,53,29,0.646,—,104.2,98.9,5.33,2010
1134,Portland Trail Blazers*,50,32,0.61,3.0,98.1,94.8,3.18,2010
1135,Oklahoma City Thunder*,50,32,0.61,3.0,101.5,98.0,3.55,2010
1136,Minnesota Timberwolves,15,67,0.183,38.0,98.2,107.8,-9.06,2010
1137,Los Angeles Lakers*,57,25,0.695,—,101.7,97.0,4.78,2010
1138,Phoenix Suns*,54,28,0.659,3.0,110.2,105.3,4.67,2010
1139,Los Angeles Clippers,29,53,0.354,28.0,95.7,102.1,-6.01,2010
1140,Golden State Warriors,26,56,0.317,31.0,108.8,112.4,-3.28,2010
1141,Sacramento Kings,25,57,0.305,32.0,100.0,104.4,-4.06,2010
1142,Dallas Mavericks*,55,27,0.671,—,102.0,99.3,2.66,2010
1143,San Antonio Spurs*,50,32,0.61,5.0,101.4,96.3,5.07,2010
1144,Houston Rockets,42,40,0.512,13.0,102.4,102.7,-0.02,2010
1145,Memphis Grizzlies,40,42,0.488,15.0,102.5,104.0,-1.39,2010
1146,New Orleans Hornets,37,45,0.451,18.0,100.2,102.7,-2.27,2010
1147,Boston Celtics*,56,26,0.683,—,96.5,91.1,4.83,2011
1148,New York Knicks*,42,40,0.512,14.0,106.5,105.7,0.48,2011
1149,Philadelphia 76ers*,41,41,0.5,15.0,99.0,97.5,1.01,2011
1150,New Jersey Nets,24,58,0.293,32.0,94.2,100.4,-6.28,2011
1151,Toronto Raptors,22,60,0.268,34.0,99.1,105.4,-6.28,2011
1152,Chicago Bulls*,62,20,0.756,—,98.6,91.3,6.53,2011
1153,Indiana Pacers*,37,45,0.451,25.0,99.8,100.9,-1.38,2011
1154,Milwaukee Bucks,35,47,0.427,27.0,91.9,92.7,-1.02,2011
1155,Detroit Pistons,30,52,0.366,32.0,97.0,100.6,-3.78,2011
1156,Cleveland Cavaliers,19,63,0.232,43.0,95.5,104.5,-8.88,2011
1157,Miami Heat*,58,24,0.707,—,102.1,94.6,6.76,2011
1158,Orlando Magic*,52,30,0.634,6.0,99.2,93.7,4.92,2011
1159,Atlanta Hawks*,44,38,0.537,14.0,95.0,95.8,-1.1,2011
1160,Charlotte Bobcats,34,48,0.415,24.0,93.3,97.3,-4.08,2011
1161,Washington Wizards,23,59,0.28,35.0,97.3,104.7,-7.3,2011
1162,Oklahoma City Thunder*,55,27,0.671,—,104.8,101.0,3.81,2011
1163,Denver Nuggets*,50,32,0.61,5.0,107.5,102.7,4.81,2011
1164,Portland Trail Blazers*,48,34,0.585,7.0,96.3,94.8,1.85,2011
1165,Utah Jazz,39,43,0.476,16.0,99.4,101.3,-1.44,2011
1166,Minnesota Timberwolves,17,65,0.207,38.0,101.1,107.7,-5.97,2011
1167,Los Angeles Lakers*,57,25,0.695,—,101.5,95.4,6.01,2011
1168,Phoenix Suns,40,42,0.488,17.0,105.0,105.9,-0.46,2011
1169,Golden State Warriors,36,46,0.439,21.0,103.4,105.7,-2.0,2011
1170,Los Angeles Clippers,32,50,0.39,25.0,98.6,101.8,-2.71,2011
1171,Sacramento Kings,24,58,0.293,33.0,99.4,104.7,-4.8,2011
1172,San Antonio Spurs*,61,21,0.744,—,103.7,98.0,5.86,2011
1173,Dallas Mavericks*,57,25,0.695,4.0,100.2,96.0,4.41,2011
1174,New Orleans Hornets*,46,36,0.561,15.0,94.9,94.0,1.28,2011
1175,Memphis Grizzlies*,46,36,0.561,15.0,99.9,97.6,2.55,2011
1176,Houston Rockets,43,39,0.524,18.0,105.9,103.7,2.37,2011
1177,Boston Celtics*,39,27,0.591,—,91.8,89.3,2.26,2012
1178,New York Knicks*,36,30,0.545,3.0,97.8,94.7,2.39,2012
1179,Philadelphia 76ers*,35,31,0.53,4.0,93.6,89.4,3.59,2012
1180,Toronto Raptors,23,43,0.348,16.0,90.7,94.0,-3.67,2012
1181,New Jersey Nets,22,44,0.333,17.0,93.1,99.1,-6.37,2012
1182,Chicago Bulls*,50,16,0.758,—,96.3,88.2,7.43,2012
1183,Indiana Pacers*,42,24,0.636,8.0,97.7,94.4,2.6,2012
1184,Milwaukee Bucks,31,35,0.47,19.0,99.0,98.7,-0.23,2012
1185,Detroit Pistons,25,41,0.379,25.0,90.9,95.7,-5.19,2012
1186,Cleveland Cavaliers,21,45,0.318,29.0,93.0,100.2,-7.34,2012
1187,Miami Heat*,46,20,0.697,—,98.5,92.5,5.72,2012
1188,Atlanta Hawks*,40,26,0.606,6.0,96.6,93.2,2.67,2012
1189,Orlando Magic*,37,29,0.561,9.0,94.2,93.4,0.46,2012
1190,Washington Wizards,20,46,0.303,26.0,93.6,98.4,-5.14,2012
1191,Charlotte Bobcats,7,59,0.106,39.0,87.0,100.9,-13.96,2012
1192,Oklahoma City Thunder*,47,19,0.712,—,103.1,96.9,6.44,2012
1193,Denver Nuggets*,38,28,0.576,9.0,104.1,101.2,3.16,2012
1194,Utah Jazz*,36,30,0.545,11.0,99.7,99.0,0.92,2012
1195,Portland Trail Blazers,28,38,0.424,19.0,97.2,97.8,-0.22,2012
1196,Minnesota Timberwolves,26,40,0.394,21.0,97.9,100.1,-1.83,2012
1197,Los Angeles Lakers*,41,25,0.621,—,97.3,95.9,1.96,2012
1198,Los Angeles Clippers*,40,26,0.606,1.0,97.5,95.0,2.82,2012
1199,Phoenix Suns,33,33,0.5,8.0,98.4,98.6,0.29,2012
1200,Golden State Warriors,23,43,0.348,18.0,97.8,101.2,-2.79,2012
1201,Sacramento Kings,22,44,0.333,19.0,98.8,104.4,-4.95,2012
1202,San Antonio Spurs*,50,16,0.758,—,103.7,96.5,7.28,2012
1203,Memphis Grizzlies*,41,25,0.621,9.0,95.0,93.0,2.43,2012
1204,Dallas Mavericks*,36,30,0.545,14.0,95.8,94.8,1.78,2012
1205,Houston Rockets,34,32,0.515,16.0,98.1,97.9,0.57,2012
1206,New Orleans Hornets,21,45,0.318,29.0,89.6,93.4,-3.11,2012
1207,New York Knicks*,54,28,0.659,—,100.0,95.7,3.73,2013
1208,Brooklyn Nets*,49,33,0.598,5.0,96.9,95.1,1.25,2013
1209,Boston Celtics*,41,40,0.506,12.5,96.5,96.7,-0.62,2013
1210,Philadelphia 76ers,34,48,0.415,20.0,93.2,96.5,-3.51,2013
1211,Toronto Raptors,34,48,0.415,20.0,97.2,98.7,-1.96,2013
1212,Indiana Pacers*,49,32,0.605,—,94.7,90.7,3.34,2013
1213,Chicago Bulls*,45,37,0.549,4.5,93.2,92.9,-0.02,2013
1214,Milwaukee Bucks*,38,44,0.463,11.5,98.9,100.4,-1.83,2013
1215,Detroit Pistons,29,53,0.354,20.5,94.9,98.8,-4.33,2013
1216,Cleveland Cavaliers,24,58,0.293,25.5,96.5,101.2,-4.87,2013
1217,Miami Heat*,66,16,0.805,—,102.9,95.0,7.03,2013
1218,Atlanta Hawks*,44,38,0.537,22.0,98.0,97.5,-0.08,2013
1219,Washington Wizards,29,53,0.354,37.0,93.2,95.8,-2.78,2013
1220,Charlotte Bobcats,21,61,0.256,45.0,93.4,102.7,-9.29,2013
1221,Orlando Magic,20,62,0.244,46.0,94.1,101.1,-7.12,2013
1222,Oklahoma City Thunder*,60,22,0.732,—,105.7,96.5,9.15,2013
1223,Denver Nuggets*,57,25,0.695,3.0,106.1,101.1,5.37,2013
1224,Utah Jazz,43,39,0.524,17.0,98.0,98.1,0.3,2013
1225,Portland Trail Blazers,33,49,0.402,27.0,97.5,100.7,-2.53,2013
1226,Minnesota Timberwolves,31,51,0.378,29.0,95.7,98.1,-1.83,2013
1227,Los Angeles Clippers*,56,26,0.683,—,101.1,94.6,6.43,2013
1228,Golden State Warriors*,47,35,0.573,9.0,101.2,100.3,1.32,2013
1229,Los Angeles Lakers*,45,37,0.549,11.0,102.2,101.0,1.48,2013
1230,Sacramento Kings,28,54,0.341,28.0,100.2,105.1,-4.26,2013
1231,Phoenix Suns,25,57,0.305,31.0,95.2,101.6,-5.75,2013
1232,San Antonio Spurs*,58,24,0.707,—,103.0,96.6,6.67,2013
1233,Memphis Grizzlies*,56,26,0.683,2.0,93.4,89.3,4.32,2013
1234,Houston Rockets*,45,37,0.549,13.0,106.0,102.5,3.69,2013
1235,Dallas Mavericks,41,41,0.5,17.0,101.1,101.7,-0.24,2013
1236,New Orleans Hornets,27,55,0.329,31.0,94.1,97.9,-3.12,2013
1237,Toronto Raptors*,48,34,0.585,—,101.3,98.0,2.55,2014
1238,Brooklyn Nets*,44,38,0.537,4.0,98.5,99.5,-1.58,2014
1239,New York Knicks,37,45,0.451,11.0,98.6,99.4,-1.4,2014
1240,Boston Celtics,25,57,0.305,23.0,96.2,100.7,-4.97,2014
1241,Philadelphia 76ers,19,63,0.232,29.0,99.5,109.9,-10.66,2014
1242,Indiana Pacers*,56,26,0.683,—,96.7,92.3,3.63,2014
1243,Chicago Bulls*,48,34,0.585,8.0,93.7,91.8,1.2,2014
1244,Cleveland Cavaliers,33,49,0.402,23.0,98.2,101.5,-3.86,2014
1245,Detroit Pistons,29,53,0.354,27.0,101.0,104.7,-4.13,2014
1246,Milwaukee Bucks,15,67,0.183,41.0,95.5,103.7,-8.41,2014
1247,Miami Heat*,54,28,0.659,—,102.2,97.4,4.15,2014
1248,Washington Wizards*,44,38,0.537,10.0,100.7,99.4,0.48,2014
1249,Charlotte Bobcats*,43,39,0.524,11.0,96.9,97.1,-0.89,2014
1250,Atlanta Hawks*,38,44,0.463,16.0,101.0,101.5,-0.88,2014
1251,Orlando Magic,23,59,0.28,31.0,96.5,102.0,-5.88,2014
1252,Oklahoma City Thunder*,59,23,0.72,—,106.2,99.8,6.66,2014
1253,Portland Trail Blazers*,54,28,0.659,5.0,106.7,102.8,4.44,2014
1254,Minnesota Timberwolves,40,42,0.488,19.0,106.9,104.3,3.1,2014
1255,Denver Nuggets,36,46,0.439,23.0,104.4,106.5,-1.4,2014
1256,Utah Jazz,25,57,0.305,34.0,95.0,102.2,-6.27,2014
1257,Los Angeles Clippers*,57,25,0.695,—,107.9,101.0,7.27,2014
1258,Golden State Warriors*,51,31,0.622,6.0,104.3,99.5,5.15,2014
1259,Phoenix Suns,48,34,0.585,9.0,105.2,102.6,3.02,2014
1260,Sacramento Kings,28,54,0.341,29.0,100.5,103.4,-2.08,2014
1261,Los Angeles Lakers,27,55,0.329,30.0,103.0,109.2,-5.33,2014
1262,San Antonio Spurs*,62,20,0.756,—,105.4,97.6,8.0,2014
1263,Houston Rockets*,54,28,0.659,8.0,107.7,103.1,5.06,2014
1264,Memphis Grizzlies*,50,32,0.61,12.0,96.1,94.6,2.18,2014
1265,Dallas Mavericks*,49,33,0.598,13.0,104.8,102.4,2.91,2014
1266,New Orleans Pelicans,34,48,0.415,28.0,99.7,102.4,-1.98,2014
1267,Toronto Raptors*,49,33,0.598,—,104.0,100.9,2.45,2015
1268,Boston Celtics*,40,42,0.488,9.0,101.4,101.2,-0.4,2015
1269,Brooklyn Nets*,38,44,0.463,11.0,98.0,100.9,-3.13,2015
1270,Philadelphia 76ers,18,64,0.22,31.0,92.0,101.0,-9.04,2015
1271,New York Knicks,17,65,0.207,32.0,91.9,101.2,-9.5,2015
1272,Cleveland Cavaliers*,53,29,0.646,—,103.1,98.7,4.08,2015
1273,Chicago Bulls*,50,32,0.61,3.0,100.8,97.8,2.54,2015
1274,Milwaukee Bucks*,41,41,0.5,12.0,97.8,97.4,-0.09,2015
1275,Indiana Pacers,38,44,0.463,15.0,97.3,97.0,-0.23,2015
1276,Detroit Pistons,32,50,0.39,21.0,98.5,99.5,-1.39,2015
1277,Atlanta Hawks*,60,22,0.732,—,102.5,97.1,4.75,2015
1278,Washington Wizards*,46,36,0.561,14.0,98.5,97.8,0.17,2015
1279,Miami Heat,37,45,0.451,23.0,94.7,97.3,-2.92,2015
1280,Charlotte Hornets,33,49,0.402,27.0,94.2,97.3,-3.44,2015
1281,Orlando Magic,25,57,0.305,35.0,95.7,101.4,-5.87,2015
1282,Portland Trail Blazers*,51,31,0.622,—,102.8,98.6,4.41,2015
1283,Oklahoma City Thunder,45,37,0.549,6.0,104.0,101.8,2.47,2015
1284,Utah Jazz,38,44,0.463,13.0,95.1,94.9,0.71,2015
1285,Denver Nuggets,30,52,0.366,21.0,101.5,105.0,-3.07,2015
1286,Minnesota Timberwolves,16,66,0.195,35.0,97.8,106.5,-8.0,2015
1287,Golden State Warriors*,67,15,0.817,—,110.0,99.9,10.01,2015
1288,Los Angeles Clippers*,56,26,0.683,11.0,106.7,100.1,6.8,2015
1289,Phoenix Suns,39,43,0.476,28.0,102.4,103.3,-0.38,2015
1290,Sacramento Kings,29,53,0.354,38.0,101.3,105.0,-3.07,2015
1291,Los Angeles Lakers,21,61,0.256,46.0,98.5,105.3,-6.17,2015
1292,Houston Rockets*,56,26,0.683,—,103.9,100.5,3.82,2015
1293,Memphis Grizzlies*,55,27,0.671,1.0,98.3,95.1,3.62,2015
1294,San Antonio Spurs*,55,27,0.671,1.0,103.2,97.0,6.34,2015
1295,Dallas Mavericks*,50,32,0.61,6.0,105.2,102.3,3.36,2015
1296,New Orleans Pelicans*,45,37,0.549,11.0,99.4,98.6,1.13,2015
1297,Toronto Raptors*,56,26,0.683,—,102.7,98.2,4.08,2016
1298,Boston Celtics*,48,34,0.585,8.0,105.7,102.5,2.84,2016
1299,New York Knicks,32,50,0.39,24.0,98.4,101.1,-2.74,2016
1300,Brooklyn Nets,21,61,0.256,35.0,98.6,106.0,-7.12,2016
1301,Philadelphia 76ers,10,72,0.122,46.0,97.4,107.6,-9.92,2016
1302,Cleveland Cavaliers*,57,25,0.695,—,104.3,98.3,5.45,2016
1303,Indiana Pacers*,45,37,0.549,12.0,102.2,100.5,1.62,2016
1304,Detroit Pistons*,44,38,0.537,13.0,102.0,101.4,0.43,2016
1305,Chicago Bulls,42,40,0.512,15.0,101.6,103.1,-1.46,2016
1306,Milwaukee Bucks,33,49,0.402,24.0,99.0,103.2,-3.98,2016
1307,Miami Heat*,48,34,0.585,—,100.0,98.4,1.5,2016
1308,Atlanta Hawks*,48,34,0.585,—,102.8,99.2,3.49,2016
1309,Charlotte Hornets*,48,34,0.585,—,103.4,100.7,2.36,2016
1310,Washington Wizards,41,41,0.5,7.0,104.1,104.6,-0.5,2016
1311,Orlando Magic,35,47,0.427,13.0,102.1,103.7,-1.68,2016
1312,Oklahoma City Thunder*,55,27,0.671,—,110.2,102.9,7.09,2016
1313,Portland Trail Blazers*,44,38,0.537,11.0,105.1,104.3,0.98,2016
1314,Utah Jazz,40,42,0.488,15.0,97.7,95.9,1.84,2016
1315,Denver Nuggets,33,49,0.402,22.0,101.9,105.0,-2.81,2016
1316,Minnesota Timberwolves,29,53,0.354,26.0,102.4,106.0,-3.38,2016
1317,Golden State Warriors*,73,9,0.89,—,114.9,104.1,10.38,2016
1318,Los Angeles Clippers*,53,29,0.646,20.0,104.5,100.2,4.13,2016
1319,Sacramento Kings,33,49,0.402,40.0,106.6,109.1,-2.32,2016
1320,Phoenix Suns,23,59,0.28,50.0,100.9,107.5,-6.32,2016
1321,Los Angeles Lakers,17,65,0.207,56.0,97.3,106.9,-8.92,2016
1322,San Antonio Spurs*,67,15,0.817,—,103.5,92.9,10.28,2016
1323,Dallas Mavericks*,42,40,0.512,25.0,102.3,102.6,-0.02,2016
1324,Memphis Grizzlies*,42,40,0.512,25.0,99.1,101.3,-2.14,2016
1325,Houston Rockets*,41,41,0.5,26.0,106.5,106.4,0.34,2016
1326,New Orleans Pelicans,30,52,0.366,37.0,102.7,106.5,-3.56,2016
1327,Boston Celtics*,53,29,0.646,—,108.0,105.4,2.25,2017
1328,Toronto Raptors*,51,31,0.622,2.0,106.9,102.6,3.65,2017
1329,New York Knicks,31,51,0.378,22.0,104.3,108.0,-3.87,2017
1330,Philadelphia 76ers,28,54,0.341,25.0,102.4,108.1,-5.83,2017
1331,Brooklyn Nets,20,62,0.244,33.0,105.8,112.5,-6.74,2017
1332,Cleveland Cavaliers*,51,31,0.622,—,110.3,107.2,2.87,2017
1333,Milwaukee Bucks*,42,40,0.512,9.0,103.6,103.8,-0.45,2017
1334,Indiana Pacers*,42,40,0.512,9.0,105.1,105.3,-0.64,2017
1335,Chicago Bulls*,41,41,0.5,10.0,102.9,102.4,0.03,2017
1336,Detroit Pistons,37,45,0.451,14.0,101.3,102.5,-1.29,2017
1337,Washington Wizards*,49,33,0.598,—,109.2,107.4,1.36,2017
1338,Atlanta Hawks*,43,39,0.524,6.0,103.2,104.0,-1.23,2017
1339,Miami Heat,41,41,0.5,8.0,103.2,102.1,0.77,2017
1340,Charlotte Hornets,36,46,0.439,13.0,104.9,104.7,-0.07,2017
1341,Orlando Magic,29,53,0.354,20.0,101.1,107.6,-6.61,2017
1342,Utah Jazz*,51,31,0.622,—,100.7,96.8,4.0,2017
1343,Oklahoma City Thunder*,47,35,0.573,4.0,106.6,105.8,1.14,2017
1344,Portland Trail Blazers*,41,41,0.5,10.0,107.9,108.5,-0.23,2017
1345,Denver Nuggets,40,42,0.488,11.0,111.7,111.2,0.7,2017
1346,Minnesota Timberwolves,31,51,0.378,20.0,105.6,106.7,-0.64,2017
1347,Golden State Warriors*,67,15,0.817,—,115.9,104.3,11.35,2017
1348,Los Angeles Clippers*,51,31,0.622,16.0,108.7,104.4,4.42,2017
1349,Sacramento Kings,32,50,0.39,35.0,102.8,106.7,-3.29,2017
1350,Los Angeles Lakers,26,56,0.317,41.0,104.6,111.5,-6.29,2017
1351,Phoenix Suns,24,58,0.293,43.0,107.7,113.3,-5.14,2017
1352,San Antonio Spurs*,61,21,0.744,—,105.3,98.1,7.13,2017
1353,Houston Rockets*,55,27,0.671,6.0,115.3,109.6,5.84,2017
1354,Memphis Grizzlies*,43,39,0.524,18.0,100.5,100.0,0.96,2017
1355,New Orleans Pelicans,34,48,0.415,27.0,104.3,106.4,-1.69,2017
1356,Dallas Mavericks,33,49,0.402,28.0,97.9,100.8,-2.53,2017
1357,Toronto Raptors*,59,23,0.72,—,111.7,103.9,7.29,2018
1358,Boston Celtics*,55,27,0.671,4.0,104.0,100.4,3.23,2018
1359,Philadelphia 76ers*,52,30,0.634,7.0,109.8,105.3,4.3,2018
1360,New York Knicks,29,53,0.354,30.0,104.5,108.0,-3.53,2018
1361,Brooklyn Nets,28,54,0.341,31.0,106.6,110.3,-3.67,2018
1362,Cleveland Cavaliers*,50,32,0.61,—,110.9,109.9,0.59,2018
1363,Indiana Pacers*,48,34,0.585,2.0,105.6,104.2,1.18,2018
1364,Milwaukee Bucks*,44,38,0.537,6.0,106.5,106.8,-0.45,2018
1365,Detroit Pistons,39,43,0.476,11.0,103.8,103.9,-0.26,2018
1366,Chicago Bulls,27,55,0.329,23.0,102.9,110.0,-6.84,2018
1367,Miami Heat*,44,38,0.537,—,103.4,102.9,0.15,2018
1368,Washington Wizards*,43,39,0.524,1.0,106.6,106.0,0.53,2018
1369,Charlotte Hornets,36,46,0.439,8.0,108.2,108.0,0.07,2018
1370,Orlando Magic,25,57,0.305,19.0,103.4,108.2,-4.92,2018
1371,Atlanta Hawks,24,58,0.293,20.0,103.4,108.8,-5.3,2018
1372,Portland Trail Blazers*,49,33,0.598,—,105.6,103.0,2.6,2018
1373,Oklahoma City Thunder*,48,34,0.585,1.0,107.9,104.4,3.42,2018
1374,Utah Jazz*,48,34,0.585,1.0,104.1,99.8,4.47,2018
1375,Minnesota Timberwolves*,47,35,0.573,2.0,109.5,107.3,2.35,2018
1376,Denver Nuggets,46,36,0.561,3.0,110.0,108.5,1.57,2018
1377,Golden State Warriors*,58,24,0.707,—,113.5,107.5,5.79,2018
1378,Los Angeles Clippers,42,40,0.512,16.0,109.0,109.0,0.15,2018
1379,Los Angeles Lakers,35,47,0.427,23.0,108.1,109.6,-1.44,2018
1380,Sacramento Kings,27,55,0.329,31.0,98.8,105.8,-6.6,2018
1381,Phoenix Suns,21,61,0.256,37.0,103.9,113.3,-8.8,2018
1382,Houston Rockets*,65,17,0.793,—,112.4,103.9,8.21,2018
1383,New Orleans Pelicans*,48,34,0.585,17.0,111.7,110.4,1.48,2018
1384,San Antonio Spurs*,47,35,0.573,18.0,102.7,99.8,2.89,2018
1385,Dallas Mavericks,24,58,0.293,41.0,102.3,105.4,-2.7,2018
1386,Memphis Grizzlies,22,60,0.268,43.0,99.3,105.5,-5.81,2018
1387,Toronto Raptors*,58,24,0.707,—,114.4,108.4,5.49,2019
1388,Philadelphia 76ers*,51,31,0.622,7.0,115.2,112.5,2.25,2019
1389,Boston Celtics*,49,33,0.598,9.0,112.4,108.0,3.9,2019
1390,Brooklyn Nets*,42,40,0.512,16.0,112.2,112.3,-0.4,2019
1391,New York Knicks,17,65,0.207,41.0,104.6,113.8,-8.93,2019
1392,Milwaukee Bucks*,60,22,0.732,—,118.1,109.3,8.04,2019
1393,Indiana Pacers*,48,34,0.585,12.0,108.0,104.7,2.76,2019
1394,Detroit Pistons*,41,41,0.5,19.0,107.0,107.3,-0.56,2019
1395,Chicago Bulls,22,60,0.268,38.0,104.9,113.4,-8.32,2019
1396,Cleveland Cavaliers,19,63,0.232,41.0,104.5,114.1,-9.39,2019
1397,Orlando Magic*,42,40,0.512,—,107.3,106.6,0.28,2019
1398,Charlotte Hornets,39,43,0.476,3.0,110.7,111.8,-1.32,2019
1399,Miami Heat,39,43,0.476,3.0,105.7,105.9,-0.45,2019
1400,Washington Wizards,32,50,0.39,10.0,114.0,116.9,-3.3,2019
1401,Atlanta Hawks,29,53,0.354,13.0,113.3,119.4,-6.06,2019
1402,Denver Nuggets*,54,28,0.659,—,110.7,106.7,4.19,2019
1403,Portland Trail Blazers*,53,29,0.646,1.0,114.7,110.5,4.43,2019
1404,Utah Jazz*,50,32,0.61,4.0,111.7,106.5,5.28,2019
1405,Oklahoma City Thunder*,49,33,0.598,5.0,114.5,111.1,3.56,2019
