,Team,W,L,W/L%,GB,PS/G,PA/G,SRS,Year
169,Chicago Bulls*,57,25,0.695,6.0,111.2,102.9,7.91,1972
170,Phoenix Suns,49,33,0.598,14.0,116.3,110.8,5.57,1972
171,Detroit Pistons,26,56,0.317,37.0,109.1,115.9,-6.11,1972
172,Los Angeles Lakers*,69,13,0.841,—,121.0,108.7,11.65,1972
173,Golden State Warriors*,51,31,0.622,18.0,108.2,107.4,0.92,1972
174,Seattle SuperSonics,47,35,0.573,22.0,109.2,108.8,0.86,1972
175,Houston Rockets,34,48,0.415,35.0,109.7,111.2,-1.22,1972
176,Portland Trail Blazers,18,64,0.22,51.0,106.8,116.5,-8.84,1972
177,Boston Celtics*,68,14,0.829,—,112.7,104.5,7.35,1973
178,New York Knicks*,57,25,0.695,11.0,105.0,98.2,6.07,1973
179,Buffalo Braves,21,61,0.256,47.0,103.3,112.5,-8.85,1973
180,Philadelphia 76ers,9,73,0.11,59.0,104.1,116.2,-11.5,1973
181,Baltimore Bullets*,52,30,0.634,—,105.0,101.6,2.85,1973
182,Atlanta Hawks*,46,36,0.561,6.0,112.4,112.3,-0.15,1973
183,Houston Rockets,33,49,0.402,19.0,112.8,114.5,-1.81,1973
184,Cleveland Cavaliers,32,50,0.39,20.0,102.7,105.3,-2.64,1973
185,Milwaukee Bucks*,60,22,0.732,—,107.2,99.0,7.84,1973
186,Chicago Bulls*,51,31,0.622,9.0,104.1,100.6,3.43,1973
187,Detroit Pistons,40,42,0.488,20.0,110.3,110.0,0.54,1973
188,Kansas City-Omaha Kings,36,46,0.439,24.0,107.6,110.5,-2.36,1973
189,Los Angeles Lakers*,60,22,0.732,—,111.7,103.2,8.16,1973
190,Golden State Warriors*,47,35,0.573,13.0,108.8,105.7,3.12,1973
191,Phoenix Suns,38,44,0.463,22.0,111.6,112.9,-0.96,1973
192,Seattle SuperSonics,26,56,0.317,34.0,103.7,109.6,-5.33,1973
193,Portland Trail Blazers,21,61,0.256,39.0,106.2,112.4,-5.67,1973
194,Boston Celtics*,56,26,0.683,—,109.0,105.1,3.42,1974
